using device 0 NVIDIA GeForce RTX 2080 Ti
DEVICE: cuda
GraphSage with Net Unsupervised Learning
----------------------EPOCH 0-----------------------
Step [1/68], Loss: 10.8349, Dealed Nodes [1022/1355] 
Step [2/68], Loss: 11.5720, Dealed Nodes [1228/1355] 
Step [3/68], Loss: 11.6167, Dealed Nodes [1312/1355] 
Step [4/68], Loss: 10.8959, Dealed Nodes [1335/1355] 
Step [5/68], Loss: 11.1899, Dealed Nodes [1343/1355] 
Step [6/68], Loss: 11.2240, Dealed Nodes [1347/1355] 
Step [7/68], Loss: 10.4337, Dealed Nodes [1350/1355] 
Step [8/68], Loss: 9.6260, Dealed Nodes [1353/1355] 
Step [9/68], Loss: 8.9842, Dealed Nodes [1353/1355] 
Step [10/68], Loss: 8.4642, Dealed Nodes [1353/1355] 
Step [11/68], Loss: 8.1821, Dealed Nodes [1353/1355] 
Step [12/68], Loss: 7.9776, Dealed Nodes [1354/1355] 
Step [13/68], Loss: 7.9137, Dealed Nodes [1355/1355] 
Step [14/68], Loss: 7.7798, Dealed Nodes [1355/1355] 
Step [15/68], Loss: 7.7656, Dealed Nodes [1355/1355] 
Step [16/68], Loss: 8.3449, Dealed Nodes [1355/1355] 
Step [17/68], Loss: 7.9601, Dealed Nodes [1355/1355] 
Step [18/68], Loss: 7.7986, Dealed Nodes [1355/1355] 
Step [19/68], Loss: 8.7584, Dealed Nodes [1355/1355] 
Step [20/68], Loss: 8.9036, Dealed Nodes [1355/1355] 
Step [21/68], Loss: 10.2417, Dealed Nodes [1355/1355] 
Step [22/68], Loss: 8.5375, Dealed Nodes [1355/1355] 
Step [23/68], Loss: 8.3072, Dealed Nodes [1355/1355] 
Step [24/68], Loss: 8.0668, Dealed Nodes [1355/1355] 
Step [25/68], Loss: 7.9648, Dealed Nodes [1355/1355] 
Step [26/68], Loss: 7.9059, Dealed Nodes [1355/1355] 
Step [27/68], Loss: 7.7540, Dealed Nodes [1355/1355] 
Step [28/68], Loss: 7.7000, Dealed Nodes [1355/1355] 
Step [29/68], Loss: 9.0776, Dealed Nodes [1355/1355] 
Step [30/68], Loss: 8.2829, Dealed Nodes [1355/1355] 
Step [31/68], Loss: 7.7872, Dealed Nodes [1355/1355] 
Step [32/68], Loss: 7.6897, Dealed Nodes [1355/1355] 
Step [33/68], Loss: 7.7065, Dealed Nodes [1355/1355] 
Step [34/68], Loss: 7.6446, Dealed Nodes [1355/1355] 
Step [35/68], Loss: 8.2946, Dealed Nodes [1355/1355] 
Step [36/68], Loss: 8.1231, Dealed Nodes [1355/1355] 
Step [37/68], Loss: 7.9499, Dealed Nodes [1355/1355] 
Step [38/68], Loss: 7.7492, Dealed Nodes [1355/1355] 
Step [39/68], Loss: 7.6253, Dealed Nodes [1355/1355] 
Step [40/68], Loss: 7.7546, Dealed Nodes [1355/1355] 
Step [41/68], Loss: 7.5939, Dealed Nodes [1355/1355] 
Step [42/68], Loss: 7.5740, Dealed Nodes [1355/1355] 
Step [43/68], Loss: 7.5266, Dealed Nodes [1355/1355] 
Step [44/68], Loss: 7.5752, Dealed Nodes [1355/1355] 
Step [45/68], Loss: 9.2340, Dealed Nodes [1355/1355] 
Step [46/68], Loss: 8.8208, Dealed Nodes [1355/1355] 
Step [47/68], Loss: 8.0527, Dealed Nodes [1355/1355] 
Step [48/68], Loss: 7.6691, Dealed Nodes [1355/1355] 
Step [49/68], Loss: 7.6015, Dealed Nodes [1355/1355] 
Step [50/68], Loss: 7.6887, Dealed Nodes [1355/1355] 
Step [51/68], Loss: 7.7040, Dealed Nodes [1355/1355] 
Step [52/68], Loss: 7.5768, Dealed Nodes [1355/1355] 
Step [53/68], Loss: 7.5114, Dealed Nodes [1355/1355] 
Step [54/68], Loss: 7.5526, Dealed Nodes [1355/1355] 
Step [55/68], Loss: 7.6961, Dealed Nodes [1355/1355] 
Step [56/68], Loss: 7.4969, Dealed Nodes [1355/1355] 
Step [57/68], Loss: 7.5690, Dealed Nodes [1355/1355] 
Step [58/68], Loss: 7.5261, Dealed Nodes [1355/1355] 
Step [59/68], Loss: 7.5633, Dealed Nodes [1355/1355] 
Step [60/68], Loss: 7.5964, Dealed Nodes [1355/1355] 
Step [61/68], Loss: 7.7527, Dealed Nodes [1355/1355] 
Step [62/68], Loss: 7.5622, Dealed Nodes [1355/1355] 
Step [63/68], Loss: 7.5737, Dealed Nodes [1355/1355] 
Step [64/68], Loss: 7.5905, Dealed Nodes [1355/1355] 
Step [65/68], Loss: 7.9132, Dealed Nodes [1355/1355] 
Step [66/68], Loss: 7.7172, Dealed Nodes [1355/1355] 
Step [67/68], Loss: 7.5982, Dealed Nodes [1355/1355] 
Step [68/68], Loss: 7.5815, Dealed Nodes [1355/1355] 
