using device 0 NVIDIA GeForce RTX 2080 Ti
DEVICE: cuda
GraphSage with Net Unsupervised Learning
----------------------EPOCH 0-----------------------
Step [1/68], Loss: 10.8349, Dealed Nodes [1022/1355] 
Step [2/68], Loss: 11.5720, Dealed Nodes [1228/1355] 
Step [3/68], Loss: 11.6167, Dealed Nodes [1312/1355] 
Step [4/68], Loss: 10.8959, Dealed Nodes [1335/1355] 
Step [5/68], Loss: 11.1899, Dealed Nodes [1343/1355] 
Step [6/68], Loss: 11.2240, Dealed Nodes [1347/1355] 
Step [7/68], Loss: 10.4337, Dealed Nodes [1350/1355] 
Step [8/68], Loss: 9.6260, Dealed Nodes [1353/1355] 
Step [9/68], Loss: 8.9842, Dealed Nodes [1353/1355] 
Step [10/68], Loss: 8.4642, Dealed Nodes [1353/1355] 
Step [11/68], Loss: 8.1827, Dealed Nodes [1353/1355] 
Step [12/68], Loss: 7.9772, Dealed Nodes [1354/1355] 
Step [13/68], Loss: 7.9126, Dealed Nodes [1355/1355] 
Step [14/68], Loss: 7.7797, Dealed Nodes [1355/1355] 
Step [15/68], Loss: 7.7606, Dealed Nodes [1355/1355] 
Step [16/68], Loss: 8.2690, Dealed Nodes [1355/1355] 
Step [17/68], Loss: 7.9127, Dealed Nodes [1355/1355] 
Step [18/68], Loss: 7.7408, Dealed Nodes [1355/1355] 
Step [19/68], Loss: 9.4693, Dealed Nodes [1355/1355] 
Step [20/68], Loss: 8.1582, Dealed Nodes [1355/1355] 
Step [21/68], Loss: 8.0333, Dealed Nodes [1355/1355] 
Step [22/68], Loss: 8.1288, Dealed Nodes [1355/1355] 
Step [23/68], Loss: 7.9648, Dealed Nodes [1355/1355] 
Step [24/68], Loss: 7.9829, Dealed Nodes [1355/1355] 
Step [25/68], Loss: 7.9117, Dealed Nodes [1355/1355] 
Step [26/68], Loss: 8.1554, Dealed Nodes [1355/1355] 
Step [27/68], Loss: 7.9477, Dealed Nodes [1355/1355] 
Step [28/68], Loss: 7.6857, Dealed Nodes [1355/1355] 
Step [29/68], Loss: 7.8906, Dealed Nodes [1355/1355] 
Step [30/68], Loss: 7.8303, Dealed Nodes [1355/1355] 
Step [31/68], Loss: 7.8705, Dealed Nodes [1355/1355] 
Step [32/68], Loss: 7.7044, Dealed Nodes [1355/1355] 
Step [33/68], Loss: 10.1249, Dealed Nodes [1355/1355] 
Step [34/68], Loss: 8.9892, Dealed Nodes [1355/1355] 
Step [35/68], Loss: 8.1874, Dealed Nodes [1355/1355] 
Step [36/68], Loss: 7.8846, Dealed Nodes [1355/1355] 
Step [37/68], Loss: 7.9202, Dealed Nodes [1355/1355] 
Step [38/68], Loss: 7.7450, Dealed Nodes [1355/1355] 
Step [39/68], Loss: 7.6228, Dealed Nodes [1355/1355] 
Step [40/68], Loss: 7.6178, Dealed Nodes [1355/1355] 
Step [41/68], Loss: 7.5966, Dealed Nodes [1355/1355] 
Step [42/68], Loss: 7.5398, Dealed Nodes [1355/1355] 
Step [43/68], Loss: 7.6512, Dealed Nodes [1355/1355] 
Step [44/68], Loss: 7.7810, Dealed Nodes [1355/1355] 
Step [45/68], Loss: 7.6605, Dealed Nodes [1355/1355] 
Step [46/68], Loss: 7.5715, Dealed Nodes [1355/1355] 
Step [47/68], Loss: 7.5461, Dealed Nodes [1355/1355] 
Step [48/68], Loss: 7.4482, Dealed Nodes [1355/1355] 
Step [49/68], Loss: 7.5407, Dealed Nodes [1355/1355] 
Step [50/68], Loss: 7.6070, Dealed Nodes [1355/1355] 
Step [51/68], Loss: 7.6856, Dealed Nodes [1355/1355] 
Step [52/68], Loss: 7.6404, Dealed Nodes [1355/1355] 
Step [53/68], Loss: 7.4849, Dealed Nodes [1355/1355] 
Step [54/68], Loss: 7.4659, Dealed Nodes [1355/1355] 
Step [55/68], Loss: 7.7678, Dealed Nodes [1355/1355] 
Step [56/68], Loss: 7.5478, Dealed Nodes [1355/1355] 
Step [57/68], Loss: 9.5868, Dealed Nodes [1355/1355] 
Step [58/68], Loss: 7.8112, Dealed Nodes [1355/1355] 
Step [59/68], Loss: 7.7302, Dealed Nodes [1355/1355] 
Step [60/68], Loss: 7.6306, Dealed Nodes [1355/1355] 
Step [61/68], Loss: 7.6839, Dealed Nodes [1355/1355] 
Step [62/68], Loss: 7.5573, Dealed Nodes [1355/1355] 
Step [63/68], Loss: 7.4738, Dealed Nodes [1355/1355] 
Step [64/68], Loss: 7.5445, Dealed Nodes [1355/1355] 
Step [65/68], Loss: 7.5561, Dealed Nodes [1355/1355] 
Step [66/68], Loss: 7.5299, Dealed Nodes [1355/1355] 
Step [67/68], Loss: 7.4630, Dealed Nodes [1355/1355] 
Step [68/68], Loss: 7.5843, Dealed Nodes [1355/1355] 
