using device 0 NVIDIA GeForce RTX 2080 Ti
DEVICE: cuda
GraphSage with Net Unsupervised Learning
----------------------EPOCH 0-----------------------
Step [1/68], Loss: 10.8349, Dealed Nodes [1022/1355] 
Step [2/68], Loss: 11.5720, Dealed Nodes [1228/1355] 
Step [3/68], Loss: 11.6167, Dealed Nodes [1312/1355] 
Step [4/68], Loss: 10.8959, Dealed Nodes [1335/1355] 
Step [5/68], Loss: 11.1899, Dealed Nodes [1343/1355] 
Step [6/68], Loss: 11.2240, Dealed Nodes [1347/1355] 
Step [7/68], Loss: 10.4337, Dealed Nodes [1350/1355] 
Step [8/68], Loss: 9.6260, Dealed Nodes [1353/1355] 
Step [9/68], Loss: 8.9842, Dealed Nodes [1353/1355] 
Step [10/68], Loss: 8.4642, Dealed Nodes [1353/1355] 
Step [11/68], Loss: 8.1821, Dealed Nodes [1353/1355] 
Step [12/68], Loss: 7.9776, Dealed Nodes [1354/1355] 
Step [13/68], Loss: 7.9137, Dealed Nodes [1355/1355] 
Step [14/68], Loss: 7.7798, Dealed Nodes [1355/1355] 
Step [15/68], Loss: 7.7666, Dealed Nodes [1355/1355] 
Step [16/68], Loss: 8.3673, Dealed Nodes [1355/1355] 
Step [17/68], Loss: 7.9740, Dealed Nodes [1355/1355] 
Step [18/68], Loss: 10.0028, Dealed Nodes [1355/1355] 
Step [19/68], Loss: 8.4149, Dealed Nodes [1355/1355] 
Step [20/68], Loss: 7.9951, Dealed Nodes [1355/1355] 
Step [21/68], Loss: 8.0514, Dealed Nodes [1355/1355] 
Step [22/68], Loss: 7.7051, Dealed Nodes [1355/1355] 
Step [23/68], Loss: 7.7799, Dealed Nodes [1355/1355] 
Step [24/68], Loss: 7.9027, Dealed Nodes [1355/1355] 
Step [25/68], Loss: 7.7280, Dealed Nodes [1355/1355] 
Step [26/68], Loss: 7.7085, Dealed Nodes [1355/1355] 
Step [27/68], Loss: 7.6352, Dealed Nodes [1355/1355] 
Step [28/68], Loss: 7.6651, Dealed Nodes [1355/1355] 
Step [29/68], Loss: 7.8464, Dealed Nodes [1355/1355] 
Step [30/68], Loss: 7.6612, Dealed Nodes [1355/1355] 
Step [31/68], Loss: 7.5735, Dealed Nodes [1355/1355] 
Step [32/68], Loss: 7.5219, Dealed Nodes [1355/1355] 
Step [33/68], Loss: 7.6127, Dealed Nodes [1355/1355] 
Step [34/68], Loss: 7.6499, Dealed Nodes [1355/1355] 
Step [35/68], Loss: 7.6157, Dealed Nodes [1355/1355] 
Step [36/68], Loss: 7.5081, Dealed Nodes [1355/1355] 
Step [37/68], Loss: 7.6591, Dealed Nodes [1355/1355] 
Step [38/68], Loss: 7.8972, Dealed Nodes [1355/1355] 
Step [39/68], Loss: 7.6724, Dealed Nodes [1355/1355] 
Step [40/68], Loss: 7.6635, Dealed Nodes [1355/1355] 
Step [41/68], Loss: 7.5900, Dealed Nodes [1355/1355] 
Step [42/68], Loss: 7.4856, Dealed Nodes [1355/1355] 
Step [43/68], Loss: 12.0435, Dealed Nodes [1355/1355] 
Step [44/68], Loss: 8.0904, Dealed Nodes [1355/1355] 
Step [45/68], Loss: 7.9765, Dealed Nodes [1355/1355] 
Step [46/68], Loss: 7.6790, Dealed Nodes [1355/1355] 
Step [47/68], Loss: 7.5987, Dealed Nodes [1355/1355] 
Step [48/68], Loss: 7.6580, Dealed Nodes [1355/1355] 
Step [49/68], Loss: 7.6462, Dealed Nodes [1355/1355] 
Step [50/68], Loss: 7.6097, Dealed Nodes [1355/1355] 
Step [51/68], Loss: 7.7327, Dealed Nodes [1355/1355] 
Step [52/68], Loss: 7.5696, Dealed Nodes [1355/1355] 
Step [53/68], Loss: 7.9336, Dealed Nodes [1355/1355] 
Step [54/68], Loss: 7.7383, Dealed Nodes [1355/1355] 
Step [55/68], Loss: 7.7122, Dealed Nodes [1355/1355] 
Step [56/68], Loss: 7.6327, Dealed Nodes [1355/1355] 
Step [57/68], Loss: 7.5595, Dealed Nodes [1355/1355] 
Step [58/68], Loss: 7.4983, Dealed Nodes [1355/1355] 
Step [59/68], Loss: 7.5963, Dealed Nodes [1355/1355] 
Step [60/68], Loss: 7.7626, Dealed Nodes [1355/1355] 
Step [61/68], Loss: 7.8629, Dealed Nodes [1355/1355] 
Step [62/68], Loss: 9.2279, Dealed Nodes [1355/1355] 
Step [63/68], Loss: 7.7537, Dealed Nodes [1355/1355] 
Step [64/68], Loss: 8.8394, Dealed Nodes [1355/1355] 
Step [65/68], Loss: 8.1015, Dealed Nodes [1355/1355] 
Step [66/68], Loss: 8.0653, Dealed Nodes [1355/1355] 
Step [67/68], Loss: 7.7297, Dealed Nodes [1355/1355] 
Step [68/68], Loss: 7.8182, Dealed Nodes [1355/1355] 
