using device 0 NVIDIA GeForce RTX 2080 Ti
DEVICE: cuda
GraphSage with Net Unsupervised Learning
----------------------EPOCH 0-----------------------
Step [1/68], Loss: 10.8349, Dealed Nodes [1022/1355] 
Step [2/68], Loss: 11.5720, Dealed Nodes [1228/1355] 
Step [3/68], Loss: 11.6167, Dealed Nodes [1312/1355] 
Step [4/68], Loss: 10.8958, Dealed Nodes [1335/1355] 
Step [5/68], Loss: 11.1896, Dealed Nodes [1343/1355] 
Step [6/68], Loss: 11.2242, Dealed Nodes [1347/1355] 
Step [7/68], Loss: 10.4378, Dealed Nodes [1350/1355] 
Step [8/68], Loss: 9.6244, Dealed Nodes [1353/1355] 
Step [9/68], Loss: 8.9850, Dealed Nodes [1353/1355] 
Step [10/68], Loss: 8.4593, Dealed Nodes [1353/1355] 
Step [11/68], Loss: 8.1868, Dealed Nodes [1353/1355] 
Step [12/68], Loss: 8.0095, Dealed Nodes [1354/1355] 
Step [13/68], Loss: 7.9556, Dealed Nodes [1355/1355] 
Step [14/68], Loss: 7.8226, Dealed Nodes [1355/1355] 
Step [15/68], Loss: 7.7087, Dealed Nodes [1355/1355] 
Step [16/68], Loss: 7.7482, Dealed Nodes [1355/1355] 
Step [17/68], Loss: 8.1142, Dealed Nodes [1355/1355] 
Step [18/68], Loss: 9.9503, Dealed Nodes [1355/1355] 
Step [19/68], Loss: 9.5972, Dealed Nodes [1355/1355] 
Step [20/68], Loss: 8.7483, Dealed Nodes [1355/1355] 
Step [21/68], Loss: 8.5538, Dealed Nodes [1355/1355] 
Step [22/68], Loss: 7.9331, Dealed Nodes [1355/1355] 
Step [23/68], Loss: 7.7536, Dealed Nodes [1355/1355] 
Step [24/68], Loss: 7.9241, Dealed Nodes [1355/1355] 
Step [25/68], Loss: 8.1932, Dealed Nodes [1355/1355] 
Step [26/68], Loss: 8.0422, Dealed Nodes [1355/1355] 
Step [27/68], Loss: 7.8711, Dealed Nodes [1355/1355] 
Step [28/68], Loss: 7.6927, Dealed Nodes [1355/1355] 
Step [29/68], Loss: 7.7788, Dealed Nodes [1355/1355] 
Step [30/68], Loss: 7.7649, Dealed Nodes [1355/1355] 
Step [31/68], Loss: 7.6781, Dealed Nodes [1355/1355] 
Step [32/68], Loss: 7.6076, Dealed Nodes [1355/1355] 
Step [33/68], Loss: 8.0038, Dealed Nodes [1355/1355] 
Step [34/68], Loss: 7.7086, Dealed Nodes [1355/1355] 
Step [35/68], Loss: 7.6017, Dealed Nodes [1355/1355] 
Step [36/68], Loss: 7.7118, Dealed Nodes [1355/1355] 
Step [37/68], Loss: 7.7492, Dealed Nodes [1355/1355] 
Step [38/68], Loss: 7.6664, Dealed Nodes [1355/1355] 
Step [39/68], Loss: 7.5916, Dealed Nodes [1355/1355] 
Step [40/68], Loss: 8.2337, Dealed Nodes [1355/1355] 
Step [41/68], Loss: 7.6767, Dealed Nodes [1355/1355] 
Step [42/68], Loss: 7.9158, Dealed Nodes [1355/1355] 
Step [43/68], Loss: 8.3514, Dealed Nodes [1355/1355] 
Step [44/68], Loss: 7.7599, Dealed Nodes [1355/1355] 
Step [45/68], Loss: 7.9474, Dealed Nodes [1355/1355] 
Step [46/68], Loss: 7.7403, Dealed Nodes [1355/1355] 
Step [47/68], Loss: 7.6476, Dealed Nodes [1355/1355] 
Step [48/68], Loss: 7.5149, Dealed Nodes [1355/1355] 
Step [49/68], Loss: 7.5519, Dealed Nodes [1355/1355] 
Step [50/68], Loss: 7.7793, Dealed Nodes [1355/1355] 
Step [51/68], Loss: 8.0821, Dealed Nodes [1355/1355] 
Step [52/68], Loss: 8.3789, Dealed Nodes [1355/1355] 
Step [53/68], Loss: 7.6693, Dealed Nodes [1355/1355] 
Step [54/68], Loss: 7.7835, Dealed Nodes [1355/1355] 
Step [55/68], Loss: 7.9309, Dealed Nodes [1355/1355] 
Step [56/68], Loss: 7.7236, Dealed Nodes [1355/1355] 
Step [57/68], Loss: 7.6614, Dealed Nodes [1355/1355] 
Step [58/68], Loss: 7.5574, Dealed Nodes [1355/1355] 
Step [59/68], Loss: 7.6237, Dealed Nodes [1355/1355] 
Step [60/68], Loss: 7.6829, Dealed Nodes [1355/1355] 
Step [61/68], Loss: 7.8970, Dealed Nodes [1355/1355] 
Step [62/68], Loss: 7.5722, Dealed Nodes [1355/1355] 
Step [63/68], Loss: 7.5124, Dealed Nodes [1355/1355] 
Step [64/68], Loss: 7.5831, Dealed Nodes [1355/1355] 
Step [65/68], Loss: 11.5384, Dealed Nodes [1355/1355] 
Step [66/68], Loss: 8.1939, Dealed Nodes [1355/1355] 
Step [67/68], Loss: 7.7821, Dealed Nodes [1355/1355] 
Step [68/68], Loss: 8.0176, Dealed Nodes [1355/1355] 
